Year,Name,College,Position,Height (in),Weight (lbs),Wonderlic,40 Yard Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle ,3Cone
1987,Tim Pidgeon,Syracuse,OLB,71.1,231,,4.69,22,30,111,4.02,9.99
1987,Chris Pike,Tulsa (OK),DT,78.9,292,,9.99,31,,,9.99,9.99
1987,Bruce Plummer,Mississippi State,SS,71.9,196,,4.57,,29.5,118,4.17,9.99
1987,Kerry Porter,Washington State,RB,73.6,209,,4.47,9,32.5,118,4.18,9.99
1987,Tommy Powell,Auburn,SS,70,186,,9.99,11,,,9.99,9.99
1987,Gregg Rakoczy,Miami (FL),C,77.8,290,,5.41,15,24.5,93,4.34,9.99
1987,Bill Ransdell,Kentucky,QB,73.5,204,,4.96,10,24,99,4.22,9.99
1987,Albert Reese,Southern Methodist (TX),TE,75.3,254,,4.99,,28.5,107,4.42,9.99
1987,Jerry Reese,Illinois,TE,73.3,229,,4.73,14,27.5,107,4.37,9.99
1987,Mike Reid,Wisconsin,ILB,73.3,230,,4.85,17,28,112,4.41,9.99
1987,Carlos Reviez,Tennessee,K,68.4,189,,5.1,10,22,96,4.47,9.99
1987,Ricky Reynolds,Washington State,CB,71.6,182,,4.48,16,30.5,118,4.17,9.99
1987,Craig Richardson,Eastern Washington,WR,71.3,185,,4.62,14,34.5,119,4.35,9.99
1987,Greg Richardson,Alabama,WR,67.3,164,,4.35,1,28,113,4.21,9.99
1987,Doug Riesenberg,California,OT,78,261,,5.14,21,21.5,99,4.43,9.99
1987,Jim Riggs,Clemson,TE,77,245,,4.78,18,25.5,100,4.34,9.99
1987,Bob Riley,Indiana,OT,77,284,,5.22,24,24,100,4.5,9.99
1987,Garland Rivers,Michigan,CB,73,185,,9.99,,,,9.99,9.99
1987,Reggie Rogers,Washington,DE,78.3,268,,4.76,,29,103,4.91,9.99
1987,Henry Rolling,Nevada Las Vegas,OLB,73.5,211,,4.64,20,36.5,119,4.42,9.99
1987,Rod Saddler,Texas A&M,DE,77.3,276,,4.99,16,30.5,114,4.68,9.99
1987,Scott Schwedes,Syracuse,WR,71.5,174,,4.47,,33.5,116,4.16,9.99
1987,Patrick Scott,Grambling State (LA),WR,69.4,173,,4.75,,31.5,116,4.34,9.99
1987,Colin Scotts,Hawaii,DE,77.5,264,,4.89,,27,111,4.41,9.99
1987,Leon Seals,Jackson State (MS),DE,76.9,263,,5.05,10,22.5,101,4.79,9.99
1987,John Settle,Appalachian State (NC),RB,69.3,207,,4.75,10,29,112,4.51,9.99
1987,Mike Shula,Alabama,QB,74,201,,5.13,2,26.5,99,4.49,9.99
1987,Mike Simmonds,Indiana State,OG,75.9,281,,5.28,27,25.5,99,4.55,9.99
1987,Ed Simmons,Eastern Washington,OT,76.1,292,,5.33,24,26.5,102,4.9,9.99
1987,Edwin Simmons,Texas,RB,75.3,237,,4.54,12,34,123,4.77,9.99
1987,Victor Simmons,Central State (OH),OLB,72,244,,4.86,27,28.5,110,4.6,9.99
1987,Brian Siverling,Penn State,TE,78.5,252,,4.94,6,29,99,4.61,9.99
1987,Elton Slater,Southwestern Louisiana,CB,69.8,193,,4.59,7,26,116,4.16,9.99
1987,Al Smith,Utah State,OLB,72.3,228,,4.66,24,26,111,4.5,9.99
1987,Don Smith,Mississippi State,RB,71.3,199,,4.67,11,30,114,9.99,9.99
1987,Sean Smith,Grambling State (LA),DE,76.3,273,,9.99,,,,9.99,9.99
1987,Steve Smith,Penn State,RB,72.9,244,,9.99,12,,,9.99,9.99
1987,Timmy Smith,Texas Tech,RB,70.6,216,,9.99,10,,,9.99,9.99
1987,Loren Snyder,Northern Colorado,QB,75.6,207,,5.15,6,26.5,104,4.63,9.99
1987,Tyrone Sorrells,Georgia Tech,OG,75.8,265,,4.82,18,30.5,114,5.05,9.99
1987,Chris Spachman,Nebraska,DE,76.6,242,,5.01,11,26.5,109,4.4,9.99
1987,Jason Stargel,Cincinnati,WR,74.3,186,,4.64,5,30.5,114,4.36,9.99
1987,Kelly Stouffer,Colorado State,QB,75,212,,4.95,,28,108,4.51,9.99
1987,Troy Stradford,Boston College,RB,68.8,192,,4.65,,31,116,4.55,9.99
1987,Wilbur Strozier,Georgia,OG,75.8,273,,9.99,29,,,9.99,9.99
1987,George Swarn,Miami (OH),RB,70.8,205,,4.6,16,33.5,121,4.25,9.99
1987,Kevin Sweeney,Frenso State (CA),QB,71.3,187,,9.99,,,,9.99,9.99
1987,Ben Tamburello,Auburn,C,74.5,264,,5.03,20,28,108,4.59,9.99
1987,Gene Taylor,Frenso State (CA),WR,74.3,189,,4.54,10,30.5,127,4.32,9.99
1987,Kitrick Taylor,Washington State,WR,70.8,178,,4.55,2,31,123,4.21,9.99
1987,Derek Tennell,UCLA,TE,76.3,243,,4.7,17,32,117,4.61,9.99
1987,Vinny Testaverde,Miami (FL),QB,76.3,213,,4.75,13,,,9.99,9.99
1987,Eric Thomas,Tulane (LA),CB,70.3,171,,4.38,7,35,126,4.22,9.99
1987,Henry Thomas,Louisiana State,DT,73.8,268,,4.95,18,27,98,4.67,9.99
1987,Jeff Tiefenthaler,South Dakota State,WR,73,181,,4.67,11,24,105,9.99,9.99
1987,Van Tiffin,Alabama,K,68.6,155,,4.9,,22.5,100,4.65,9.99
1987,Spencer Tillman,Oklahoma,RB,70.4,202,,4.58,18,27,103,4.21,9.99
1987,Steve Trapilo,Boston College,OG,76.5,284,,5.22,26,23.5,97,4.91,9.99
1987,Odessa Turner,Northwestern State (LA),WR,74.9,205,,4.53,10,31,116,4.25,9.99
1987,Ralph Van Dyke,Southern Illinois,OT,77.8,262,,5.28,21,24.5,99,4.94,9.99
1987,Jeff Van Raaphorst,Arizona State,QB,73,206,,4.83,8,24,106,4.41,9.99
1987,Roger Vick,Texas A&M,FB,74.5,223,,4.61,12,34,119,4.25,9.99
1987,Danny Villa,Arizona State,OT,77,309,,5.5,21,22.5,92,4.78,9.99
1987,Jeff Ward,Texas,K,68.9,171,,4.78,,24.5,103,4.38,9.99
1987,Jim Warne,Arizona State,OT,78.5,307,,5.52,,22,89,5,9.99
1987,Arthur Wells,Grambling State (LA),TE,75.8,236,,4.82,13,28,101,4.82,9.99
1987,Tom Welter,Nebraska,OT,76.4,274,,5.23,13,27,87,5.04,9.99
1987,Adrian White,Florida,SS,71.5,198,,9.99,17,,,9.99,9.99
1987,Bobby White,Penn State,DT,74.3,246,,4.87,18,26,109,4.41,9.99
1987,Gerald White,Michigan,FB,71.4,220,,9.99,,28,104,4.49,9.99
1987,Solomon Wilcots,Colorado,CB,70.3,186,,4.6,11,31.5,118,4.4,9.99
1987,Bruce Wilkerson,Tennessee,OT,77,280,,9.99,17,,,9.99,9.99
